id,name,gender,year_of_birth,year_of_death,city_of_birth,state_of_birth,city_of_death,state_of_death,url
1504,"LeWitt, Sol",M,1928,2007,Hartford,United States,New York,United States,http://www.tate.org.uk/art/artists/sol-lewitt-1504
1505,"Van Leyden, Ernst",M,1892,1969,Rotterdam,Nederland,Versailles,France,http://www.tate.org.uk/art/artists/ernst-van-leyden-1505
1506,"Lhote, André",M,1885,1962,Bordeaux,France,Paris,France,http://www.tate.org.uk/art/artists/andre-lhote-1506
1507,"Liberman, Alexander",M,1912,1999,Kiyev,Ukrayina,Unknown,Unknown,http://www.tate.org.uk/art/artists/alexander-liberman-1507
1508,"Lichtenstein, Roy",M,1923,1997,New York,United States,Manhattan Island,Unknown,http://www.tate.org.uk/art/artists/roy-lichtenstein-1508
1509,"Liebermann, Max",M,1847,1935,Berlin,Deutschland,Berlin,Deutschland,http://www.tate.org.uk/art/artists/max-liebermann-1509
1510,"Lightfoot, Maxwell Gordon",M,1886,1911,Liverpool,United Kingdom,London,United Kingdom,http://www.tate.org.uk/art/artists/maxwell-gordon-lightfoot-1510
1511,"Lijn, Liliane",F,1939,Unknown,New York,United States,Unknown,Unknown,http://www.tate.org.uk/art/artists/liliane-lijn-1511
1512,"Lim, Kim",F,1936,1997,Singapore,Unknown,London,United Kingdom,http://www.tate.org.uk/art/artists/kim-lim-1512
1513,"Lin, Richard",M,1933,Unknown,Chung-hua Min-kuo,Unknown,Unknown,Unknown,http://www.tate.org.uk/art/artists/richard-lin-1513
1514,"Lindner, Richard",M,1901,1978,Hamburg,Deutschland,New York,United States,http://www.tate.org.uk/art/artists/richard-lindner-1514
1515,"Lindström, Bengt",M,1925,Unknown,Sverige,Unknown,Unknown,Unknown,http://www.tate.org.uk/art/artists/bengt-lindstrom-1515
1516,"Ling, Rita M.",F,1922,Unknown,Wolverhampton,United Kingdom,Unknown,Unknown,http://www.tate.org.uk/art/artists/rita-m-ling-1516
1517,"Lion, Flora",F,1878,1958,London,United Kingdom,Unknown,Unknown,http://www.tate.org.uk/art/artists/flora-lion-1517
1518,"Lipchitz, Jacques",M,1891,1973,Lietuva,Unknown,Capri,Isola di,http://www.tate.org.uk/art/artists/jacques-lipchitz-1518
1519,"Lissitzky, El",M,1890,1941,Pochinok,Rossiya,Moskva,Rossiya,http://www.tate.org.uk/art/artists/el-lissitzky-1519
1520,"Livens, Horace Mann",M,1862,1936,Croydon,United Kingdom,Harrow,United Kingdom,http://www.tate.org.uk/art/artists/horace-mann-livens-1520
1521,"Lloyd, James",M,1905,1974,England,United Kingdom,England,United Kingdom,http://www.tate.org.uk/art/artists/james-lloyd-1521
1522,"Logan, Peter",M,1943,Unknown,Witney,United Kingdom,Unknown,Unknown,http://www.tate.org.uk/art/artists/peter-logan-1522
1523,"Lohse, Richard Paul",M,1902,1988,Zürich,Schweiz,Unknown,Unknown,http://www.tate.org.uk/art/artists/richard-paul-lohse-1523
1524,"Loker, John",M,1938,Unknown,Leeds,United Kingdom,Unknown,Unknown,http://www.tate.org.uk/art/artists/john-loker-1524
1525,"Long, Richard",M,1945,Unknown,Bristol,United Kingdom,Unknown,Unknown,http://www.tate.org.uk/art/artists/richard-long-1525
1526,"Longo, Robert",M,1953,Unknown,Brooklyn,United States,Unknown,Unknown,http://www.tate.org.uk/art/artists/robert-longo-1526
1527,"Louis, Morris",M,1912,1962,Baltimore Independent City,United States,Washington,United States,http://www.tate.org.uk/art/artists/morris-louis-1527
1528,"Louw, Roelof",M,1936,Unknown,Cape Town,South Africa,Unknown,Unknown,http://www.tate.org.uk/art/artists/roelof-louw-1528
1529,"Low, Sir David",M,1891,1963,Dunedin,New Zealand,London,United Kingdom,http://www.tate.org.uk/art/artists/sir-david-low-1529
1530,"Lowe, Peter",M,1938,Unknown,London,United Kingdom,Unknown,Unknown,http://www.tate.org.uk/art/artists/peter-lowe-1530
1531,"Lowinsky, Thomas",M,1892,1947,London,United Kingdom,Aldbourne,United Kingdom,http://www.tate.org.uk/art/artists/thomas-lowinsky-1531
1532,"Lowndes, Alan",M,1921,1978,Stockport,United Kingdom,Unknown,Unknown,http://www.tate.org.uk/art/artists/alan-lowndes-1532
1533,"Lowry, L.S.",M,1887,1976,England,United Kingdom,Salford,Unknown,http://www.tate.org.uk/art/artists/ls-lowry-1533
1534,"Lozoff, Abrasha",M,1887,1936,Unknown,Unknown,Unknown,Unknown,http://www.tate.org.uk/art/artists/abrasha-lozoff-1534
1535,Lucy and Eegyudluk,Unknown,1918,Unknown,Unknown,Unknown,Unknown,Unknown,http://www.tate.org.uk/art/artists/lucy-and-eegyudluk-1535
1536,"Lundquist, Evert",M,1904,Unknown,Stockholm,Sverige,Unknown,Unknown,http://www.tate.org.uk/art/artists/evert-lundquist-1536
1537,"MacBryde, Robert",M,1913,1966,Maybole,United Kingdom,Unknown,Unknown,http://www.tate.org.uk/art/artists/robert-macbryde-1537
1538,"Maccari, Mino",M,1898,1989,Siena,Italia,Roma,Italia,http://www.tate.org.uk/art/artists/mino-maccari-1538
1539,"Macdonald, Frances",F,1914,2002,Wallasey,United Kingdom,Unknown,Unknown,http://www.tate.org.uk/art/artists/frances-macdonald-1539
1540,"Mach, David",M,1956,Unknown,Methil,United Kingdom,Unknown,Unknown,http://www.tate.org.uk/art/artists/david-mach-1540
1541,"Machin, Arnold",M,1911,1999,Stoke on Trent,Unknown,Staffordshire,United Kingdom,http://www.tate.org.uk/art/artists/arnold-machin-1541
1542,"Mackay, Alex",Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,http://www.tate.org.uk/art/artists/alex-mackay-1542
1543,"Mackennal, Sir Bertram",M,1863,1931,Melbourne,Australia,Torquay,United Kingdom,http://www.tate.org.uk/art/artists/sir-bertram-mackennal-1543
1544,"Mackenzie, Alexander",M,1923,2002,Liverpool,United Kingdom,Penzance,United Kingdom,http://www.tate.org.uk/art/artists/alexander-mackenzie-1544
1545,"Mackenzie, Alix",F,1922,1962,Unknown,Unknown,Unknown,Unknown,http://www.tate.org.uk/art/artists/alix-mackenzie-1545
1546,"Mackenzie, Warren",M,1924,Unknown,Kansas City,United States,Unknown,Unknown,http://www.tate.org.uk/art/artists/warren-mackenzie-1546
1547,"Mackinnon, Sine",M,1901,1996,Newcastle,United Kingdom,Unknown,Unknown,http://www.tate.org.uk/art/artists/sine-mackinnon-1547
1548,"Mackintosh, Charles Rennie",M,1868,1928,Glasgow,United Kingdom,London,United Kingdom,http://www.tate.org.uk/art/artists/charles-rennie-mackintosh-1548
1549,"Maclaren, Donald",M,1886,1917,Kensington,United Kingdom,Unknown,Unknown,http://www.tate.org.uk/art/artists/donald-maclaren-1549
1550,"Mactaggart, Sir William",M,1903,1981,Loanhead,United Kingdom,Unknown,Unknown,http://www.tate.org.uk/art/artists/sir-william-mactaggart-1550
1551,"Maddox, Conroy",M,1912,2005,Hertfordshire,United Kingdom,London,United Kingdom,http://www.tate.org.uk/art/artists/conroy-maddox-1551
1552,"Maddox, Ronald",M,1930,Unknown,Unknown,Unknown,Unknown,Unknown,http://www.tate.org.uk/art/artists/ronald-maddox-1552
1553,"Magritte, René",M,1898,1967,Lessines,België,Schaerbeek,België,http://www.tate.org.uk/art/artists/rene-magritte-1553
1554,"Mahoney, Charles",M,1903,1968,London,United Kingdom,Unknown,Unknown,http://www.tate.org.uk/art/artists/charles-mahoney-1554
1555,"Maillol, Aristide",M,1861,1944,Banyuls-sur-Mer,France,Perpignan,France,http://www.tate.org.uk/art/artists/aristide-maillol-1555
1556,"De Maistre, Roy",M,1894,1968,Bowral,Australia,London,United Kingdom,http://www.tate.org.uk/art/artists/roy-de-maistre-1556
1557,"Maitec, Ovidiu",M,1925,Unknown,Arad,România,Unknown,Unknown,http://www.tate.org.uk/art/artists/ovidiu-maitec-1557
1558,"Maitin, Sam",M,1928,2004,Philadelphia,United States,Unknown,Unknown,http://www.tate.org.uk/art/artists/sam-maitin-1558
1559,"Maitland, Paul",M,1863,1909,Chelsea,United Kingdom,London,United Kingdom,http://www.tate.org.uk/art/artists/paul-maitland-1559
1560,"Makowski, Kazimierz",M,1951,Unknown,Unknown,Unknown,Unknown,Unknown,http://www.tate.org.uk/art/artists/kazimierz-makowski-1560
1561,"Malevich, Kazimir",M,1879,1935,Kiyev,Ukrayina,Sankt-Peterburg,Rossiya,http://www.tate.org.uk/art/artists/kazimir-malevich-1561
1562,"Malthouse, Eric",M,1914,1997,Birmingham,United Kingdom,Unknown,Unknown,http://www.tate.org.uk/art/artists/eric-malthouse-1562
1563,Man Ray,M,1890,1976,Philadelphia,United States,Paris,France,http://www.tate.org.uk/art/artists/man-ray-1563
1564,"Mancini, Antonio",M,1852,1930,Roma,Italia,Roma,Italia,http://www.tate.org.uk/art/artists/antonio-mancini-1564
1565,Mane-Katz,M,1894,1962,Kremenchug,Ukrayina,Tel Aviv-Yafo,Yisra'el,http://www.tate.org.uk/art/artists/mane-katz-1565
1566,"Manessier, Alfred",M,1911,1993,Saint-Ouen,France,Unknown,Unknown,http://www.tate.org.uk/art/artists/alfred-manessier-1566
1567,"Manet, Edouard",M,1832,1883,Paris,France,Paris,France,http://www.tate.org.uk/art/artists/edouard-manet-1567
1568,"Mangold, Robert",M,1937,Unknown,North Tonawanda,United States,Unknown,Unknown,http://www.tate.org.uk/art/artists/robert-mangold-1568
1569,"Mann, Harrington",M,1864,1937,Glasgow,United Kingdom,New York,United States,http://www.tate.org.uk/art/artists/harrington-mann-1569
1570,"Manson, James Bolivar",M,1879,1945,London,United Kingdom,London,United Kingdom,http://www.tate.org.uk/art/artists/james-bolivar-manson-1570
1571,"Manzoni, Piero",M,1933,1963,Soncino,Italia,Milano,Italia,http://www.tate.org.uk/art/artists/piero-manzoni-1571
1572,"Manzu, Giacomo",M,1908,1991,Bergamo,Italia,Unknown,Unknown,http://www.tate.org.uk/art/artists/giacomo-manzu-1572
1573,"Mara, Tim",M,1948,1997,Dublin,Éire,Unknown,Unknown,http://www.tate.org.uk/art/artists/tim-mara-1573
1574,"Maraz, Adriana",F,1931,Unknown,Ilirska Bistrica,Slovenija,Unknown,Unknown,http://www.tate.org.uk/art/artists/adriana-maraz-1574
1575,"Marchand, Jean",M,1883,1941,Paris,France,Paris,France,http://www.tate.org.uk/art/artists/jean-marchand-1575
1576,"Marchant, Paul",M,1948,Unknown,Unknown,Unknown,Unknown,Unknown,http://www.tate.org.uk/art/artists/paul-marchant-1576
1577,"Marcoussis, Louis",M,1878,1941,Warszawa,Polska,Cusset,France,http://www.tate.org.uk/art/artists/louis-marcoussis-1577
1578,"Marden, Brice",M,1938,Unknown,Bronxville,United States,Unknown,Unknown,http://www.tate.org.uk/art/artists/brice-marden-1578
1579,"Mariani, Carlo Maria",M,1931,Unknown,Roma,Italia,Unknown,Unknown,http://www.tate.org.uk/art/artists/carlo-maria-mariani-1579
1580,"Marin, John",M,1870,1953,Rutherford,United States,Addison,United States,http://www.tate.org.uk/art/artists/john-marin-1580
1581,"Marini, Marino",M,1901,1980,Pistoia,Italia,Viareggio,Italia,http://www.tate.org.uk/art/artists/marino-marini-1581
1582,"Markson, Helena",F,1934,Unknown,London,United Kingdom,Unknown,Unknown,http://www.tate.org.uk/art/artists/helena-markson-1582
1583,"Martin, Agnes",F,1912,2004,Canada,Unknown,Unknown,Unknown,http://www.tate.org.uk/art/artists/agnes-martin-1583
1584,"Martin, Frank",M,1921,2005,London,United Kingdom,Unknown,Unknown,http://www.tate.org.uk/art/artists/frank-martin-1584
1585,"Martin, Kenneth",M,1905,1984,Sheffield,United Kingdom,Unknown,Unknown,http://www.tate.org.uk/art/artists/kenneth-martin-1585
1586,"Martin, Mary",F,1907,1969,Folkestone,United Kingdom,Unknown,Unknown,http://www.tate.org.uk/art/artists/mary-martin-1586
1587,"Marx, Enid",F,1902,1998,London,United Kingdom,Islington,United Kingdom,http://www.tate.org.uk/art/artists/enid-marx-1587
1588,"Mason, Arnold",M,1885,1963,Birkenhead,United Kingdom,London,United Kingdom,http://www.tate.org.uk/art/artists/arnold-mason-1588
1589,"Mason, Raymond",M,1922,2010,Birmingham,United Kingdom,Unknown,Unknown,http://www.tate.org.uk/art/artists/raymond-mason-1589
1590,"Masson, André",M,1896,1987,Haute-Corse,France,Paris,France,http://www.tate.org.uk/art/artists/andre-masson-1590
1591,"Matschinsky-Denninghof, Brigitte",F,1923,Unknown,Berlin,Deutschland,Unknown,Unknown,http://www.tate.org.uk/art/artists/brigitte-matschinsky-denninghof-1591
1592,"Mathews, Denis",M,1913,1997,Hampstead,United Kingdom,Unknown,Unknown,http://www.tate.org.uk/art/artists/denis-mathews-1592
1593,"Matisse, Henri",M,1869,1954,Le Cateau-Cambrésis,France,Nice,France,http://www.tate.org.uk/art/artists/henri-matisse-1593
1594,Matta,M,1911,2002,Santiago,Chile,Unknown,Unknown,http://www.tate.org.uk/art/artists/matta-roberto-matta-echaurren-1594
1595,"Maufra, Maxime",M,1861,1918,Nantes,France,Poncé-sur-le-Loir,France,http://www.tate.org.uk/art/artists/maxime-maufra-1595
1596,"Maundrell, Charles",M,1860,1924,Peckham,United Kingdom,Unknown,Unknown,http://www.tate.org.uk/art/artists/charles-maundrell-1596
1597,"Maurer, Dora",F,1937,Unknown,Budapest,Magyarország,Unknown,Unknown,http://www.tate.org.uk/art/artists/dora-maurer-1597
1598,"Mauve, Anton",M,1838,1888,Zaandam,Nederland,Arnhem,Nederland,http://www.tate.org.uk/art/artists/anton-mauve-1598
1599,"Maxwell, John",M,1905,1962,England,United Kingdom,England,United Kingdom,http://www.tate.org.uk/art/artists/john-maxwell-1599
1600,"May, Phil",M,1864,1903,Leeds,United Kingdom,London,United Kingdom,http://www.tate.org.uk/art/artists/phil-may-1600
1601,"Mayor, Fred",M,1865,1916,North Yorkshire,United Kingdom,London,United Kingdom,http://www.tate.org.uk/art/artists/fred-mayor-1601
1602,"Maze, Paul",M,1887,1979,Le Havre,France,Chichester,United Kingdom,http://www.tate.org.uk/art/artists/paul-maze-1602
1603,"McCartney, Linda",F,1941,1998,New York,United States,Tucson,United States,http://www.tate.org.uk/art/artists/linda-mccartney-1603
1604,"McComb, Leonard",M,1930,Unknown,Glasgow,United Kingdom,Unknown,Unknown,http://www.tate.org.uk/art/artists/leonard-mccomb-1604
1605,"McEvoy, Ambrose",M,1878,1927,Wiltshire,United Kingdom,London,United Kingdom,http://www.tate.org.uk/art/artists/ambrose-mcevoy-1605
1606,"McEvoy, Mary",F,1870,1941,Freshford,Éire,London,United Kingdom,http://www.tate.org.uk/art/artists/mary-mcevoy-1606
1607,"McEwen, Rory",M,1932,1982,Scotland,United Kingdom,London,United Kingdom,http://www.tate.org.uk/art/artists/rory-mcewen-1607
1608,"McFall, David B.",M,1919,1988,Glasgow,United Kingdom,Unknown,Unknown,http://www.tate.org.uk/art/artists/david-b-mcfall-1608
1609,"McKinnon, Michael",M,1940,Unknown,Unknown,Unknown,Unknown,Unknown,http://www.tate.org.uk/art/artists/michael-mckinnon-1609
1610,"McLean, Bruce",M,1944,Unknown,Glasgow,United Kingdom,Unknown,Unknown,http://www.tate.org.uk/art/artists/bruce-mclean-1610
1611,"McLean, John",M,1939,Unknown,Liverpool,United Kingdom,Unknown,Unknown,http://www.tate.org.uk/art/artists/john-mclean-1611
1612,"McMillan, William",M,1887,1977,Aberdeen,United Kingdom,Unknown,Unknown,http://www.tate.org.uk/art/artists/william-mcmillan-1612
1613,"McWilliam, F.E.",M,1909,1992,Down,United Kingdom,Unknown,Unknown,http://www.tate.org.uk/art/artists/fe-mcwilliam-1613
1614,"Mead, Dorothy",F,1928,1975,London,United Kingdom,Unknown,Unknown,http://www.tate.org.uk/art/artists/dorothy-mead-1614
1615,"Meadows, Bernard",M,1915,2005,Norwich,United Kingdom,Unknown,Unknown,http://www.tate.org.uk/art/artists/bernard-meadows-1615
1616,"Medley, Robert",M,1905,1994,London,United Kingdom,Unknown,Unknown,http://www.tate.org.uk/art/artists/robert-medley-1616
1617,"Mednikoff, Reuben",M,1906,1972,London,United Kingdom,Bexhill-on-Sea,United Kingdom,http://www.tate.org.uk/art/artists/reuben-mednikoff-1617
1618,"Mehring, Howard",M,1931,Unknown,Washington,United States,Unknown,Unknown,http://www.tate.org.uk/art/artists/howard-mehring-1618
1619,"Meidner, Else",F,1901,1987,Berlin,Deutschland,Unknown,Unknown,http://www.tate.org.uk/art/artists/else-meidner-1619
1620,"Mellis, Margaret",F,1914,2009,Zhonghua,Unknown,Unknown,Unknown,http://www.tate.org.uk/art/artists/margaret-mellis-1620
1621,"Meneeley, Ed",M,1927,Unknown,Wilkes-Barre,United States,Unknown,Unknown,http://www.tate.org.uk/art/artists/ed-meneeley-1621
1622,"Meninsky, Bernard",M,1891,1950,Ukrayina,Unknown,London,United Kingdom,http://www.tate.org.uk/art/artists/bernard-meninsky-1622
1623,"Merz, Mario",M,1925,2003,Milano,Italia,Milano,Italia,http://www.tate.org.uk/art/artists/mario-merz-1623
1624,"Mesens, E.L.T.",M,1903,1971,Bruxelles,België,London,United Kingdom,http://www.tate.org.uk/art/artists/elt-mesens-1624
1625,"Meštrovic, Ivan",M,1883,1962,Hrvatska,Unknown,South Bend,United States,http://www.tate.org.uk/art/artists/ivan-mestrovic-1625
1626,"Methuen, Lord",M,1886,1974,Corsham,United Kingdom,Unknown,Unknown,http://www.tate.org.uk/art/artists/lord-methuen-1626
1627,"Metzinger, Jean",M,1883,1956,Nantes,France,Paris,France,http://www.tate.org.uk/art/artists/jean-metzinger-1627
1628,"Michaux, Henri",M,1899,1984,Namur,België,Unknown,Unknown,http://www.tate.org.uk/art/artists/henri-michaux-1628
1629,"Michell, Keith",M,1928,Unknown,Unknown,Unknown,Unknown,Unknown,http://www.tate.org.uk/art/artists/keith-michell-1629
1630,"Middleditch, Edward",M,1923,1987,Chelmsford,United Kingdom,Unknown,Unknown,http://www.tate.org.uk/art/artists/edward-middleditch-1630
1631,"Millares, Manolo",M,1926,1972,Las Palmas de Gran Canaria,España,Madrid,España,http://www.tate.org.uk/art/artists/manolo-millares-1631
1632,"Miller, Godfrey",M,1893,1964,Wellington,New Zealand,Sydney,Australia,http://www.tate.org.uk/art/artists/godfrey-miller-1632
1633,"Milles, Carl",M,1875,1955,Lagan,Sverige,Lidingö,Sverige,http://www.tate.org.uk/art/artists/carl-milles-1633
1634,"Millet, Francis Davis",M,1846,1912,Mattapoisett,United States,Unknown,Unknown,http://www.tate.org.uk/art/artists/francis-davis-millet-1634
1635,"Millington, Terence",M,1942,Unknown,Birmingham,United Kingdom,Unknown,Unknown,http://www.tate.org.uk/art/artists/terence-millington-1635
1636,"Milne, John",M,1931,1978,Lancashire,United Kingdom,Unknown,Unknown,http://www.tate.org.uk/art/artists/john-milne-1636
1637,"Milne, Malcolm",M,1887,1954,England,United Kingdom,Oxford,Unknown,http://www.tate.org.uk/art/artists/malcolm-milne-1637
1638,"Milow, Keith",M,1945,Unknown,London,United Kingdom,Unknown,Unknown,http://www.tate.org.uk/art/artists/keith-milow-1638
1639,"Milton, Peter",M,1930,Unknown,Montgomery,United States,Unknown,Unknown,http://www.tate.org.uk/art/artists/peter-milton-1639
1640,"Minami, Keiko",F,1911,2004,Nihon,Unknown,Nihon,Unknown,http://www.tate.org.uk/art/artists/keiko-minami-1640
1641,"Minaux, André",M,1923,Unknown,Paris,France,Unknown,Unknown,http://www.tate.org.uk/art/artists/andre-minaux-1641
1642,"Minguzzi, Luciano",M,1911,2004,Bologna,Italia,Milano,Italia,http://www.tate.org.uk/art/artists/luciano-minguzzi-1642
1643,"Mintchine, Abraham",M,1898,1931,Kiyev,Ukrayina,La Garde,France,http://www.tate.org.uk/art/artists/abraham-mintchine-1643
1644,"Minton, John",M,1917,1957,Cambridge,United Kingdom,London,United Kingdom,http://www.tate.org.uk/art/artists/john-minton-1644
1645,"Mirea, Joan",F,1912,Unknown,Unknown,Unknown,Unknown,Unknown,http://www.tate.org.uk/art/artists/joan-mirea-1645
1646,"Miró, Joan",M,1893,1983,Barcelona,España,Palma de Mallorca,España,http://www.tate.org.uk/art/artists/joan-miro-1646
1647,"Mitchell, Denis",M,1912,1993,Wealdstone,United Kingdom,Newlyn,United Kingdom,http://www.tate.org.uk/art/artists/denis-mitchell-1647
1648,"Modigliani, Amedeo",M,1884,1920,Livorno,Italia,Paris,France,http://www.tate.org.uk/art/artists/amedeo-modigliani-1648
1649,"Moholy-Nagy, László",M,1895,1946,Magyarország,Unknown,Chicago,United States,http://www.tate.org.uk/art/artists/laszlo-moholy-nagy-1649
1650,"Moira, Gerald",M,1867,1959,London,United Kingdom,Northwood,United Kingdom,http://www.tate.org.uk/art/artists/gerald-moira-1650
1651,"Mondrian, Piet",M,1872,1944,Amersfoort,Nederland,New York,United States,http://www.tate.org.uk/art/artists/piet-mondrian-1651
1652,"Monet, Claude",M,1840,1926,Paris,France,Giverny,France,http://www.tate.org.uk/art/artists/claude-monet-1652
1653,"Monnington, Sir Thomas",M,1902,1976,London,United Kingdom,Unknown,Unknown,http://www.tate.org.uk/art/artists/sir-thomas-monnington-1653
1654,"Monro, Nicholas",M,1936,Unknown,London,United Kingdom,Unknown,Unknown,http://www.tate.org.uk/art/artists/nicholas-monro-1654
1655,"Montpetit, Guy",M,1938,Unknown,Montréal,Canada,Unknown,Unknown,http://www.tate.org.uk/art/artists/guy-montpetit-1655
1656,"Moon, Jeremy",M,1934,1973,Cheshire,United Kingdom,Unknown,Unknown,http://www.tate.org.uk/art/artists/jeremy-moon-1656
1657,"Moon, Michael",M,1937,Unknown,Edinburgh,United Kingdom,Unknown,Unknown,http://www.tate.org.uk/art/artists/michael-moon-1657
1658,"Bigge, John",M,1892,1973,Oxford,United Kingdom,Unknown,Unknown,http://www.tate.org.uk/art/artists/john-bigge-sir-john-amherst-selby-bigge-bt-1658
1659,"Moore, Henry, OM, CH",M,1898,1986,Castleford,United Kingdom,Unknown,Unknown,http://www.tate.org.uk/art/artists/henry-moore-om-ch-1659
1660,"Morandi, Giorgio",M,1890,1964,Bologna,Italia,Bologna,Italia,http://www.tate.org.uk/art/artists/giorgio-morandi-1660
1661,"Morellet, François",M,1926,Unknown,Cholet,France,Cholet,France,http://www.tate.org.uk/art/artists/francois-morellet-1661
1662,"Moreton, Warwick",M,1947,Unknown,Unknown,Unknown,Unknown,Unknown,http://www.tate.org.uk/art/artists/warwick-moreton-1662
1663,"Morisot, Berthe",F,1841,1895,Bourges,France,Paris,France,http://www.tate.org.uk/art/artists/berthe-morisot-1663
1664,"Morley, Harry",M,1881,1943,Leicester,United Kingdom,London,United Kingdom,http://www.tate.org.uk/art/artists/harry-morley-1664
1665,"Morley, Malcolm",M,1931,Unknown,London,United Kingdom,Unknown,Unknown,http://www.tate.org.uk/art/artists/malcolm-morley-1665
1666,"Morrice, James Wilson",M,1865,1924,Québec,Canada,Unknown,Unknown,http://www.tate.org.uk/art/artists/james-wilson-morrice-1666
1667,"Morris, Sir Cedric, Bt",M,1889,1982,Swansea,United Kingdom,Ipswich,United Kingdom,http://www.tate.org.uk/art/artists/sir-cedric-morris-bt-1667
1668,"Morris, Michael",M,1942,Unknown,East Sussex,United Kingdom,Unknown,Unknown,http://www.tate.org.uk/art/artists/michael-morris-1668
1669,"Morris, Robert",M,1931,Unknown,Kansas City,United States,Unknown,Unknown,http://www.tate.org.uk/art/artists/robert-morris-1669
1670,"Morton, Alastair",M,1910,1963,Carlisle,United Kingdom,Unknown,Unknown,http://www.tate.org.uk/art/artists/alastair-morton-1670
1671,"Moss, Marlow",F,1889,1958,Surrey,United Kingdom,Penzance,United Kingdom,http://www.tate.org.uk/art/artists/marlow-moss-1671
1672,"Von Motesiczky, Marie-Louise",F,1906,1996,Wien,Österreich,Unknown,Unknown,http://www.tate.org.uk/art/artists/marie-louise-von-motesiczky-1672
1673,"Motherwell, Robert",M,1915,1991,Aberdeen,United States,Unknown,Unknown,http://www.tate.org.uk/art/artists/robert-motherwell-1673
1674,"Moynihan, Rodrigo",M,1910,1990,Santa Cruz de la Palma,España,Unknown,Unknown,http://www.tate.org.uk/art/artists/rodrigo-moynihan-1674
1675,"Mozley, Charles",M,1915,1991,Sheffield,United Kingdom,Unknown,Unknown,http://www.tate.org.uk/art/artists/charles-mozley-1675
1676,"Muirhead, David",M,1867,1930,Edinburgh,United Kingdom,London,United Kingdom,http://www.tate.org.uk/art/artists/david-muirhead-1676
1677,"Muncaster, Claude",M,1903,1974,Horsham,United Kingdom,Unknown,Unknown,http://www.tate.org.uk/art/artists/claude-muncaster-1677
1678,"Munch, Edvard",M,1863,1944,Løten,Norge,Oslo,Norge,http://www.tate.org.uk/art/artists/edvard-munch-1678
1679,"Mundy, Henry",M,1919,Unknown,Birkenhead,United Kingdom,Unknown,Unknown,http://www.tate.org.uk/art/artists/henry-mundy-1679
1680,"Munnings, Sir Alfred",M,1878,1959,Unknown,Unknown,Dedham,United Kingdom,http://www.tate.org.uk/art/artists/sir-alfred-munnings-1680
1681,"Murphy, John",M,1945,Unknown,Saint Albans,United Kingdom,Unknown,Unknown,http://www.tate.org.uk/art/artists/john-murphy-1681
1682,"Murray, Charles",M,1894,1954,Aberdeen,United Kingdom,London,United Kingdom,http://www.tate.org.uk/art/artists/charles-murray-1682
1683,"Murray, Elizabeth",F,1940,Unknown,Chicago,United States,Unknown,Unknown,http://www.tate.org.uk/art/artists/elizabeth-murray-1683
1684,"Murtic, Edo",M,1921,2005,Bjelovar,Hrvatska,Zagreb,Hrvatska,http://www.tate.org.uk/art/artists/edo-murtic-1684
1685,"Music, Zoran",M,1909,2005,Gorizia,Italia,Venezia,Italia,http://www.tate.org.uk/art/artists/zoran-music-1685
1686,"Myers, Bernard",M,1925,2007,Unknown,Unknown,Unknown,Unknown,http://www.tate.org.uk/art/artists/bernard-myers-1686
1687,"Naghi Bey, Mohammed",M,1888,1956,Al-Iskandariyah,Misr,Al-Qahirah,Misr,http://www.tate.org.uk/art/artists/mohammed-naghi-bey-1687
1688,"Nash, David",M,1945,Unknown,Esher,United Kingdom,Unknown,Unknown,http://www.tate.org.uk/art/artists/david-nash-1688
1689,"Nash, John",M,1893,1977,London,United Kingdom,Isle of Wight,United Kingdom,http://www.tate.org.uk/art/artists/john-nash-1689
1690,"Nash, Paul",M,1889,1946,London,United Kingdom,Dorset,United Kingdom,http://www.tate.org.uk/art/artists/paul-nash-1690
1691,"Nauman, Bruce",M,1941,Unknown,Fort Wayne,United States,Unknown,Unknown,http://www.tate.org.uk/art/artists/bruce-nauman-1691
1692,"Neagu, Paul",M,1938,2004,Bucuresti,România,Unknown,Unknown,http://www.tate.org.uk/art/artists/paul-neagu-1692
1693,"Nechamkin, Sarah",F,1917,Unknown,Moskva,Rossiya,Unknown,Unknown,http://www.tate.org.uk/art/artists/sarah-nechamkin-1693
1694,"Neiland, Brendan",M,1941,Unknown,Lichfield,United Kingdom,Unknown,Unknown,http://www.tate.org.uk/art/artists/brendan-neiland-1694
1695,"Nemon, Oscar",M,1906,1985,Unknown,Unknown,Unknown,Unknown,http://www.tate.org.uk/art/artists/oscar-nemon-1695
1696,"Nevelson, Louise",F,1899,1988,Kiyev,Ukrayina,Unknown,Unknown,http://www.tate.org.uk/art/artists/louise-nevelson-1696
1697,"Nevinson, Christopher Richard Wynne",M,1889,1946,London,United Kingdom,London,United Kingdom,http://www.tate.org.uk/art/artists/christopher-richard-wynne-nevinson-1697
1698,"Newman, Avis",M,1946,Unknown,London,United Kingdom,Unknown,Unknown,http://www.tate.org.uk/art/artists/avis-newman-1698
1699,"Newman, Barnett",M,1905,1970,New York,United States,New York,United States,http://www.tate.org.uk/art/artists/barnett-newman-1699
1700,"Newton, Algernon",M,1880,1968,Hampstead,United Kingdom,Unknown,Unknown,http://www.tate.org.uk/art/artists/algernon-newton-1700
